Date,Year,Month,Day,Day of the Year,C6
2010-11-14,2010,11,14,318,2.041115624
2011-04-27,2011,4,27,117,1.854711792
2011-05-10,2011,5,10,130,2.383256117
2011-05-28,2011,5,28,148,28.47288566
2011-06-15,2011,6,15,166,18.62586419
2011-06-27,2011,6,27,178,33.14708225
2011-07-15,2011,7,15,196,73.25896841
2011-07-27,2011,7,27,208,21.61354655
2011-08-09,2011,8,9,221,82.56746277
2011-08-22,2011,8,22,234,59.00246348
2011-09-06,2011,9,6,249,3.84E-11
2011-09-20,2011,9,20,263,7.76858338
2011-10-08,2011,10,8,281,40.25350366
2011-10-22,2011,10,22,295,17.04455646
2011-11-04,2011,11,4,308,3.918839761
2011-11-26,2011,11,26,330,0.264481597
2012-04-02,2012,4,2,93,0.756502672
2012-04-28,2012,4,28,119,0.069490692
2012-05-26,2012,5,26,147,2.881311148
2012-06-09,2012,6,9,161,62.27109633
2012-06-27,2012,6,27,179,51.71474239
2012-07-10,2012,7,10,192,1.209943415
2012-07-20,2012,7,20,202,109.508855
2012-08-01,2012,8,1,214,6.016598966
2012-08-11,2012,8,11,224,45.58036747
2012-08-22,2012,8,22,235,0.583894994
2012-09-08,2012,9,8,252,31.9610938
2012-09-25,2012,9,25,269,-1.954250481
2012-10-16,2012,10,16,290,-1.545590688
2012-11-05,2012,11,5,310,1.080608104
2012-11-20,2012,11,20,325,1.102751119
