Date,Year,Month,Day,Day of the Year,E51
2010-07-11,2010,7,11,192,41.61928388
2010-07-24,2010,7,24,205,91.81228729
2010-08-07,2010,8,7,219,76.86513414
2010-08-20,2010,8,20,232,1.80E-11
2010-09-01,2010,9,1,244,14.86499689
2010-09-11,2010,9,11,254,63.18738628
2010-09-29,2010,9,29,272,1.98E-11
2010-10-12,2010,10,12,285,9.753718678
2010-11-01,2010,11,1,305,0.705826352
2010-11-14,2010,11,14,318,0.693579997
2011-04-27,2011,4,27,117,1.26E-11
2011-05-10,2011,5,10,130,-0.180552948
2011-05-28,2011,5,28,148,14.27860889
2011-06-15,2011,6,15,166,24.66659745
2011-06-27,2011,6,27,178,68.51002338
2011-07-15,2011,7,15,196,70.81629202
2011-07-27,2011,7,27,208,126.214664
2011-08-09,2011,8,9,221,23.61920474
2011-08-23,2011,8,23,235,175.100055
2011-09-07,2011,9,7,250,1.893858583
2011-09-20,2011,9,20,263,0.891358076
2011-10-08,2011,10,8,281,10.66850636
2011-10-22,2011,10,22,295,40.53242837
2011-11-05,2011,11,5,309,12.56708538
2011-11-25,2011,11,25,329,2.06E-11
2012-04-03,2012,4,3,94,2.194671452
2012-04-28,2012,4,28,119,0.03209801
2012-05-26,2012,5,26,147,1.158924938
2012-06-09,2012,6,9,161,136.5978211
2012-06-27,2012,6,27,179,69.41536919
2012-07-10,2012,7,10,192,69.99409656
2012-07-20,2012,7,20,202,98.99686627
2012-08-01,2012,8,1,214,109.5564855
2012-08-11,2012,8,11,224,22.71639069
2012-08-22,2012,8,22,235,175.2182245
2012-09-07,2012,9,7,251,2.657216944
2012-09-26,2012,9,26,270,5.752514731
2012-10-16,2012,10,16,290,-3.606893823
2012-11-05,2012,11,5,310,17.13008507
2012-11-21,2012,11,21,326,-2.822602764
